date,time,open,high,low,close,volume
20260310,2157,314.93,314.93,314.91,314.92,1090
20260310,2158,314.92,314.93,314.86,314.88,6618
20260310,2159,314.88,314.88,314.82,314.84,6043
20260310,2200,314.82,314.84,314.63,314.65,27361
20260310,2201,314.66,314.67,314.65,314.67,5041
20260310,2202,314.67,314.67,314.66,314.67,2015
20260310,2203,314.67,314.67,314.64,314.67,12856
20260310,2204,314.67,314.67,314.66,314.67,4188
20260310,2205,314.7,314.71,314.68,314.69,2509
20260310,2206,314.69,314.69,314.68,314.69,278
20260310,2207,314.69,314.69,314.68,314.69,1223
20260310,2208,314.69,314.77,314.69,314.76,7712
20260310,2209,314.75,314.78,314.73,314.73,1162
20260310,2210,314.75,314.75,314.73,314.75,491
20260310,2211,314.75,314.77,314.73,314.77,2456
20260310,2212,314.78,314.78,314.76,314.77,1008
20260310,2213,314.77,314.77,314.76,314.77,4432
20260310,2214,314.77,314.77,314.7,314.7,5911
20260310,2215,314.7,314.7,314.69,314.7,2339
20260310,2216,314.7,314.75,314.7,314.73,3289
20260310,2217,314.73,314.73,314.62,314.63,27041
20260310,2218,314.62,314.63,314.5,314.59,30924
20260310,2219,314.59,314.61,314.59,314.61,3262
20260310,2220,314.61,314.62,314.5,314.56,20209
20260310,2221,314.56,314.6,314.55,314.58,830
20260310,2222,314.6,314.61,314.59,314.6,1551
20260310,2223,314.59,314.6,314.59,314.6,1927
20260310,2224,314.6,314.61,314.56,314.57,5444
20260310,2225,314.58,314.61,314.58,314.6,7598
20260310,2226,314.6,314.6,314.59,314.6,3300
20260310,2227,314.59,314.6,314.59,314.59,4623
20260310,2228,314.6,314.61,314.59,314.61,8446
20260310,2229,314.61,314.63,314.6,314.63,9140
20260310,2230,314.63,314.7,314.62,314.67,5131
20260310,2231,314.7,314.75,314.7,314.75,6526
20260310,2232,314.75,314.78,314.75,314.78,749
20260310,2233,314.77,314.77,314.75,314.76,2613
20260310,2234,314.76,314.76,314.65,314.73,13568
20260310,2235,314.71,314.74,314.67,314.67,4627
20260310,2236,314.69,314.69,314.66,314.67,1682
20260310,2237,314.66,314.67,314.65,314.67,795
20260310,2238,314.67,314.67,314.66,314.67,3620
20260310,2239,314.67,314.67,314.66,314.67,654
20260310,2240,314.67,314.67,314.61,314.61,3449
20260310,2241,314.62,314.62,314.61,314.62,726
20260310,2242,314.62,314.63,314.61,314.62,4786
20260310,2243,314.63,314.66,314.63,314.66,6726
20260310,2244,314.66,314.66,314.61,314.66,39146
20260310,2245,314.66,314.74,314.65,314.74,10659
20260310,2246,314.74,314.74,314.73,314.74,932
20260310,2247,314.74,314.75,314.73,314.74,18071
20260310,2248,314.75,314.78,314.75,314.78,2573
20260310,2249,314.77,314.79,314.77,314.79,5543
20260310,2250,314.79,314.79,314.78,314.79,7510
20260310,2251,314.79,314.79,314.78,314.79,912
20260310,2252,314.79,314.79,314.78,314.79,479
20260310,2253,314.79,314.79,314.78,314.79,4572
20260310,2254,314.79,314.79,314.78,314.79,3530
20260310,2255,314.79,314.79,314.78,314.79,11557
20260310,2256,314.79,314.79,314.77,314.78,5189
20260310,2257,314.78,314.78,314.76,314.77,8109
20260310,2258,314.78,314.8,314.76,314.76,3941
20260310,2259,314.77,314.79,314.77,314.78,6404
20260310,2300,314.77,314.78,314.76,314.77,707
20260310,2301,314.77,314.84,314.61,314.84,39838
20260310,2302,314.83,314.84,314.83,314.84,2873
20260310,2303,314.84,314.84,314.83,314.83,7888
20260310,2304,314.84,314.86,314.83,314.86,5760
20260310,2305,314.86,314.88,314.85,314.87,4143
20260310,2306,314.87,314.88,314.86,314.87,3796
20260310,2307,314.86,314.88,314.86,314.87,1659
20260310,2308,314.87,314.88,314.85,314.87,13530
20260310,2309,314.88,314.9,314.87,314.9,3749
20260310,2310,314.9,314.9,314.89,314.9,2779
20260310,2311,314.9,314.9,314.89,314.9,203
20260310,2312,314.9,314.9,314.88,314.88,31863
