date,open,high,low,close,volume
20150126,63.79,63.88,57.2,61.5,827430120
20150202,62.0,64.88,59.9,64.31,773959990
20150209,64.31,70.75,63.85,70.6,1266876440
20150216,70.77,76.84,69.67,74.75,1029036080
20150223,72.0,76.75,71.76,75.91,513917360
20150302,76.38,77.45,71.86,73.25,639107710
20150309,72.5,72.71,67.81,67.87,533904030
20150316,67.5,67.8,63.86,67.0,720183800
20150323,67.6,67.6,60.57,61.0,657172230
20150330,60.81,66.4,60.67,65.5,620491230
20150406,65.65,72.45,65.57,71.5,818109810
20150413,71.89,77.51,71.43,72.5,788538080
20150420,72.5,77.7,71.22,75.75,807459300
20150427,76.12,76.96,73.9,76.9,417720970
20150504,77.2,80.98,75.07,75.5,468274660
20150511,75.5,76.7,73.6,75.05,364333490
20150518,75.49,76.05,71.15,74.35,526354310
20150525,74.4,76.13,72.41,73.5,471941790
20150601,73.7,74.49,70.2,70.61,483060340
20150608,70.8,72.55,68.41,72.55,416939950
20150615,72.03,74.41,70.6,71.56,480789080
20150622,72.05,72.5,70.4,70.6,327526000
20150629,69.18,72.97,69.03,70.67,420708550
20150706,69.93,71.2,66.5,71.06,580989390
20150713,70.75,75.73,70.75,75.52,567087940
20150720,75.4,75.97,70.25,70.45,523271580
20150727,70.4,72.79,67.35,72.3,775653500
20150803,71.5,74.4,70.43,74.2,537653540
20150810,74.2,75.67,72.52,74.43,447452570
20150817,74.0,74.19,69.86,69.86,514124570
20150824,68.02,75.06,66.75,74.82,835950880
20150831,74.31,74.92,72.22,73.96,612719090
20150907,73.67,75.75,73.36,74.1,384866640
20150914,73.89,77.98,73.87,75.5,461944160
20150921,75.6,76.98,72.67,74.97,462123440
20150928,74.99,76.76,72.95,73.8,447147620
20151005,74.55,86.2,74.29,85.77,823666820
20151012,85.8,90.07,83.86,88.52,642671730
20151019,88.5,90.45,85.92,90.45,554592940
20151026,90.89,92.7,87.33,90.53,620865250
20151102,90.25,96.6,89.66,94.09,481806820
20151109,94.5,94.86,92.02,93.4,386321860
20151116,93.01,108.55,93.01,107.3,710666730
20151123,106.88,110.7,103.7,104.55,620884760
20151130,103.9,105.9,100.6,103.05,479977420
20151207,103.45,104.9,96.95,98.15,549641910
20151214,97.58,105.18,96.23,98.81,489102780
20151221,98.9,103.89,97.65,101.34,300938570
20151228,101.2,102.5,99.46,101.26,148496390
20160104,101.0,101.78,96.83,96.85,141047050
20160111,93.61,94.89,86.85,87.27,485369460
20160118,86.01,92.28,82.2,91.5,700791300
20160125,92.55,98.7,88.74,96.5,732937660
20160201,96.27,98.56,93.71,97.2,534811920
20160208,97.05,97.86,92.7,94.85,533832880
20160215,96.0,103.57,94.93,102.39,613810300
20160222,102.57,107.15,100.79,106.24,409753320
20160229,105.5,109.2,104.81,108.99,469055240
20160307,109.62,110.2,107.5,109.26,303767070
20160314,109.28,112.5,106.09,112.4,496988030
20160321,111.5,114.19,107.05,109.1,453696550
20160328,110.0,110.59,105.35,108.52,429305050
20160404,108.21,113.3,106.0,112.92,436437640
20160411,113.0,119.95,112.62,119.3,533644870
20160418,117.12,125.55,116.01,121.25,619134220
20160425,121.01,125.78,116.75,123.55,434703210
20160502,121.5,122.39,118.41,120.64,211311570
20160509,119.8,124.38,118.57,121.07,297479850
20160516,122.2,123.62,120.3,121.9,308175790
20160523,121.3,134.79,120.12,133.2,439866020
20160530,133.51,135.98,130.51,131.59,327253140
20160606,132.08,142.0,132.0,133.5,359579020
20160613,131.22,132.37,125.85,128.7,323678810
20160620,132.45,138.28,129.12,133.4,308359650
20160627,133.9,135.34,125.35,133.85,427469900
20160704,134.65,135.84,127.85,134.41,305965030
20160711,134.92,141.35,134.52,138.12,334210780
20160718,138.43,141.1,137.41,137.8,229642590
20160725,138.2,139.81,133.33,139.15,290272490
20160801,140.0,141.21,134.27,138.69,237287660
20160808,139.01,141.39,137.68,139.45,214858690
20160815,140.25,141.08,135.52,135.8,252770900
20160822,135.15,145.6,134.6,145.25,304493800
20160829,144.47,147.09,142.51,146.88,237271720
20160905,147.5,156.25,147.09,151.6,313640040
20160912,149.73,152.1,147.0,147.0,226113280
20160919,148.8,154.5,147.04,151.5,235403570
20160926,149.9,152.45,144.6,145.34,247642650
20161003,146.0,150.5,145.75,148.74,214631100
20161010,149.33,152.44,145.76,146.73,209225630
20161017,146.5,149.2,145.54,148.42,165042040
20161024,149.21,152.23,148.32,149.2,160724340
20161031,148.99,148.99,141.6,142.75,172437640
20161107,143.8,155.57,142.5,151.51,342127270
20161114,152.5,152.85,148.75,150.05,198909130
20161121,150.9,163.42,150.9,160.36,282912210
20161128,160.01,161.12,157.1,159.4,242427610
20161205,158.76,170.87,158.43,169.66,323393730
20161212,172.0,178.93,171.35,173.9,358002780
20161219,174.76,185.34,168.55,171.15,262815050
20161226,171.3,173.63,167.55,173.25,163115480
20170102,173.4,181.68,169.5,170.69,165799740
20170109,171.37,173.05,163.88,164.9,282679800
20170116,165.22,168.19,163.34,167.49,197085980
20170123,167.33,178.92,164.53,178.92,251626560
20170130,177.5,178.0,171.75,173.8,200484470
20170206,174.71,174.98,165.4,165.5,208831640
20170213,166.05,167.12,160.0,165.49,253249380
20170220,166.4,168.38,163.93,165.51,137003930
20170227,166.01,166.34,155.65,164.4,275821740
20170306,164.5,165.99,155.23,157.5,196705430
20170313,157.49,162.85,155.86,161.15,275938670
20170320,161.57,165.9,159.75,164.52,193969770
20170327,163.03,164.9,159.51,159.8,148119090
20170403,160.77,168.45,159.84,161.49,197974040
20170410,161.0,161.39,148.6,149.24,275446370
20170417,149.44,160.3,147.62,159.59,269570590
20170424,161.09,166.0,161.0,165.2,222527550
20170501,166.0,168.34,163.63,165.8,149187150
20170508,167.0,172.39,166.41,167.7,140423580
20170515,168.5,172.0,164.7,168.87,213558390
20170522,170.5,170.5,160.62,160.7,196508420
20170529,161.0,164.22,151.62,157.14,241791120
20170605,157.1,158.89,148.25,150.13,240237080
20170612,145.35,147.3,136.2,141.63,374631730
20170619,142.5,147.1,141.78,144.1,258973860
20170626,144.85,147.2,142.88,145.59,259253270
20170703,146.65,152.5,146.22,152.16,235485890
20170710,152.48,162.62,152.36,161.4,306696750
20170717,161.8,164.91,159.82,162.1,210129590
20170724,161.21,166.0,158.6,165.4,248798590
20170731,165.53,170.98,163.88,169.73,250000470
20170807,170.47,175.88,168.64,172.05,225917380
20170814,173.0,175.3,168.13,169.5,181555940
